,사용일자,버스,지하철,버스비율,지하철비율
75,2019-06-10,37404885,53692953.0,0.41060123732025344,0.5893987626797466
76,2019-06-17,37426836,53821458.0,0.4101647752450035,0.5898352247549965
77,2019-06-24,37177180,52609473.0,0.41406131933662793,0.5859386806633721
78,2019-07-01,37422153,52597702.0,0.41570998975725965,0.5842900102427403
79,2019-07-08,37433658,52597146.0,0.41578722322639705,0.584212776773603
80,2019-07-15,36964585,51592898.0,0.41740780956929413,0.5825921904307059
81,2019-07-22,35505238,49639153.0,0.41700031655637776,0.5829996834436223
82,2019-07-29,34355000,48114800.0,0.416576734756238,0.583423265243762
83,2019-08-05,35402304,48666119.0,0.421112978412834,0.578887021587166
84,2019-08-12,33536558,46126018.0,0.4209825953908395,0.5790174046091605
85,2019-08-19,37526127,51756376.0,0.4203077393562768,0.5796922606437233
86,2019-08-26,37641694,52713721.0,0.4165958841537057,0.5834041158462944
87,2019-09-02,36854928,50774369.0,0.4205776978902387,0.5794223021097613
88,2019-09-09,28778917,40388589.0,0.4160756786575477,0.5839243213424523
89,2019-09-16,37718779,54031112.0,0.4111043467070713,0.5888956532929287
90,2019-09-23,38549220,55594661.0,0.4094713282533997,0.5905286717466003
91,2019-09-30,35656650,51962352.0,0.4069511086191098,0.5930488913808902
92,2019-10-07,35785275,51960646.0,0.40782835933763806,0.5921716406623619
93,2019-10-14,37895121,54700633.0,0.40925333358158084,0.5907466664184191
94,2019-10-21,37963558,55628815.0,0.4056266208786051,0.5943733791213949
95,2019-10-28,37850878,55174730.0,0.406886649964169,0.593113350035831
96,2019-11-04,37552175,54784210.0,0.4066888150321241,0.5933111849678758
97,2019-11-11,36685167,53339583.0,0.4075009039180892,0.5924990960819108
98,2019-11-18,37555906,53675727.0,0.41165443130892987,0.5883455686910701
99,2019-11-25,37325448,53969806.0,0.40884324611222395,0.591156753887776
100,2019-12-02,36971273,53449362.0,0.4088809263504951,0.5911190736495049
101,2019-12-09,37674220,54770799.0,0.40753109694314626,0.5924689030568537
102,2019-12-16,37793997,55248583.0,0.40620108556748963,0.5937989144325103
103,2019-12-23,34710517,50873947.0,0.4055703030400471,0.594429696959953
104,2019-12-30,31541364,45627800.0,0.40873015029682064,0.5912698497031794
105,2020-01-06,35048173,51098784.0,0.4068416833342123,0.5931583166657878
106,2020-01-13,35463211,51674889.0,0.4069770972743266,0.5930229027256734
107,2020-01-20,28997660,41523135.0,0.4111930388759798,0.5888069611240202
108,2020-01-27,29970556,42006620.0,0.416389717762753,0.583610282237247
109,2020-02-03,31819510,43147781.0,0.4244452423924455,0.5755547576075545
110,2020-02-10,32230318,45123839.0,0.41665915898999456,0.5833408410100055
111,2020-02-17,30729139,42814200.0,0.41783714769871955,0.5821628523012805
112,2020-02-24,23731534,31949341.0,0.426206197370282,0.573793802629718
113,2020-03-02,23327208,30663717.0,0.4320579430709883,0.5679420569290117
114,2020-03-09,23701941,31348405.0,0.43055026393476253,0.5694497360652374
115,2020-03-16,24164504,32082848.0,0.42961140641785234,0.5703885935821477
116,2020-03-23,24521993,32839368.0,0.4275001947739699,0.5724998052260302
117,2020-03-30,24800038,33274866.0,0.42703536797925656,0.5729646320207434
118,2020-04-06,25473008,34336437.0,0.4259027650231498,0.5740972349768503
119,2020-04-13,24488701,32644198.0,0.42862696324931804,0.571373036750682
120,2020-04-20,27174966,37051639.0,0.42311073425101636,0.5768892657489836
121,2020-04-27,24888855,33609164.0,0.42546492044457096,0.574535079555429
122,2020-05-04,26253760,35711603.0,0.42368443803032346,0.5763155619696765
123,2020-05-11,28219705,38927676.0,0.4202651626874323,0.5797348373125677
124,2020-05-18,28964500,39494992.0,0.4230896133439027,0.5769103866560973
125,2020-05-25,29481127,40044472.0,0.4240326933393267,0.5759673066606733
126,2020-06-01,29009968,39124014.0,0.42577825555535564,0.5742217444446444
127,2020-06-08,29825304,39542794.0,0.42995706758458335,0.5700429324154167
128,2020-06-15,30069342,40196066.0,0.4279394777014602,0.5720605222985399
129,2020-06-22,30233069,40387424.0,0.4281061730905787,0.5718938269094214
130,2020-06-29,30446965,40873986.0,0.42690071533117946,0.5730992846688205
131,2020-07-06,30744666,41281792.0,0.42685239360236205,0.573147606397638
132,2020-07-13,30488896,40968896.0,0.42666999842368486,0.5733300015763152
133,2020-07-20,30577108,40937330.0,0.42756552180414253,0.5724344781958575
134,2020-07-27,29541196,39591515.0,0.4273114068968017,0.5726885931031983
135,2020-08-03,28754626,38649755.0,0.4265987695962967,0.5734012304037033
136,2020-08-10,29400581,39856367.0,0.42451453390640315,0.5754854660935969
137,2020-08-17,25090570,32231067.0,0.4377155174406481,0.5622844825593519
138,2020-08-24,24702853,31082844.0,0.44281696435557666,0.5571830356444233
139,2020-08-31,23044610,29713553.0,0.43679705072369557,0.5632029492763044
140,2020-09-07,23902953,31479187.0,0.4316003859728064,0.5683996140271936
141,2020-09-14,27138701,35860229.0,0.4307803481741674,0.5692196518258326
142,2020-09-21,28778143,38126745.0,0.430135134521113,0.5698648654788869
143,2020-09-28,19109563,24855091.0,0.43465741820690773,0.5653425817930923
